"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\Verneri\Documents\TABby\src\tabby\__init__.py", "Python", 1, 2, 0, 3
"c:\Users\Verneri\Documents\TABby\src\tabby\__main__.py", "Python", 3, 4, 3, 10
"c:\Users\Verneri\Documents\TABby\src\tabby\controller\controller.py", "Python", 8, 2, 4, 14
"c:\Users\Verneri\Documents\TABby\src\tabby\core\__init__.py", "Python", 2, 1, 3, 6
"c:\Users\Verneri\Documents\TABby\src\tabby\core\audio_engine.py", "Python", 130, 46, 35, 211
"c:\Users\Verneri\Documents\TABby\src\tabby\core\config_loader.py", "Python", 19, 5, 7, 31
"c:\Users\Verneri\Documents\TABby\src\tabby\core\scene_manager.py", "Python", 85, 17, 15, 117
"c:\Users\Verneri\Documents\TABby\src\tabby\ui\__init__.py", "Python", 0, 1, 1, 2
"c:\Users\Verneri\Documents\TABby\src\tabby\ui\cli.py", "Python", 113, 1, 16, 130
"c:\Users\Verneri\Documents\TABby\src\tabby\ui\gui.py", "Python", 221, 44, 70, 335
"c:\Users\Verneri\Documents\TABby\src\tabby\ui\ui_interface.py", "Python", 3, 1, 1, 5
"c:\Users\Verneri\Documents\TABby\src\tabby\utils\__init__.py", "Python", 0, 1, 1, 2
"c:\Users\Verneri\Documents\TABby\src\tabby\utils\logger.py", "Python", 9, 1, 3, 13
"Total", "-", 594, 126, 159, 879
